draw_date,win_num_1,win_num_2,win_num_3,win_num_4,win_num_5,win_num_6,bonus_num,sum
2002-12-07 00:00:00,10,23,29,33,37,40,16,188
2002-12-14 00:00:00,9,13,21,25,32,42,2,144
2002-12-21 00:00:00,11,16,19,21,27,31,30,155
2002-12-28 00:00:00,14,27,30,31,40,42,2,186
2003-01-04 00:00:00,16,24,29,40,41,42,3,195
2003-01-11 00:00:00,14,15,26,27,40,42,34,198
2003-01-18 00:00:00,2,9,16,25,26,40,42,160
2003-01-25 00:00:00,8,19,25,34,37,39,9,171
2003-02-01 00:00:00,2,4,16,17,36,39,14,128
2003-02-08 00:00:00,9,25,30,33,41,44,6,188
2003-02-15 00:00:00,1,7,36,37,41,42,14,178
2003-02-22 00:00:00,2,11,21,25,39,45,44,187
2003-03-01 00:00:00,22,23,25,37,38,42,26,213
2003-03-08 00:00:00,2,6,12,31,33,40,15,139
2003-03-15 00:00:00,3,4,16,30,31,37,13,134
2003-03-22 00:00:00,6,7,24,37,38,40,33,185
2003-03-29 00:00:00,3,4,9,17,32,37,1,103
2003-04-05 00:00:00,3,12,13,19,32,35,29,143
2003-04-12 00:00:00,6,30,38,39,40,43,26,222
2003-04-19 00:00:00,10,14,18,20,23,30,41,156
2003-04-26 00:00:00,6,12,17,18,31,32,21,137
2003-05-03 00:00:00,4,5,6,8,17,39,25,104
2003-05-10 00:00:00,5,13,17,18,33,42,44,172
2003-05-17 00:00:00,7,8,27,29,36,43,6,156
2003-05-24 00:00:00,2,4,21,26,43,44,16,156
2003-05-31 00:00:00,4,5,7,18,20,25,31,110
2003-06-07 00:00:00,1,20,26,28,37,43,27,182
2003-06-14 00:00:00,9,18,23,25,35,37,1,148
2003-06-21 00:00:00,1,5,13,34,39,40,11,143
2003-06-28 00:00:00,8,17,20,35,36,44,4,164
2003-07-05 00:00:00,7,9,18,23,28,35,32,152
2003-07-12 00:00:00,6,14,19,25,34,44,11,153
2003-07-19 00:00:00,4,7,32,33,40,41,9,166
2003-07-26 00:00:00,9,26,35,37,40,42,2,191
2003-08-02 00:00:00,2,3,11,26,37,43,39,161
2003-08-09 00:00:00,1,10,23,26,28,40,31,159
2003-08-16 00:00:00,7,27,30,33,35,37,42,211
2003-08-23 00:00:00,16,17,22,30,37,43,36,201
2003-08-30 00:00:00,6,7,13,15,21,43,8,113
2003-09-06 00:00:00,7,13,18,19,25,26,6,114
2003-09-13 00:00:00,13,20,23,35,38,43,34,206
2003-09-20 00:00:00,17,18,19,21,23,32,1,131
2003-09-27 00:00:00,6,31,35,38,39,44,1,194
2003-10-04 00:00:00,3,11,21,30,38,45,39,187
